chunk_idx	page	section	text_excerpt
92		제13조 제2항 및 별지 제1호서식중 “센터장”을 “단장”으로 한다.	제13조 제2항 및 별지 제1호서식중 “센터장”을 “단장”으로 한다.  ⑧보안업무취급내규 중 다음과 같이 한다.  제2조 중 “각 실, 센터, 팀”을 “각 실, 센터, 팀, 관”으로 하고, “각 본부 주무팀장 및 실․센터 선임직원”을 “각 본부․단 주무팀장 및 실 선임직원”으로 하고 제13조 제1호 중 “실․센터장”을 “단․실장”으로 하고 제2호 중 “실․
93		부칙 (규정 제221호)	⑨사무인계시행내규 중 다음과 같이 한다.  별표 2의 인계자란 중 “본부장(실․센터장)”을 “본부장”으로 한다.  ⑩인사규정 중 다음과 같이 한다.  별표 2의 비고란 중 “실․센터장”을 “단․실장”으로 한다.  부칙 (규정 제217호)  이 규정은 2010년 10월 18일부터 시행한다.  부칙 (규정 제218호)  이 규정은 발령일부터 시행한다.  부칙 
94		별표 2의 비고란 중 급별 1급 “본부장급, 단․실장”을 “ 처․본부장, 실장”, 급별 2급 “본부장급, 단․실장”을 “처․본부장, 실․팀장” 급별 3급 “본부장, 단․실장, 팀장급”을 “처․본부장, 실․팀장”으로 한다.	이 규정은 2011년 1월 1일부터 시행한다.  부칙 (규정 제233호)  이 규정은 2012년 1월 1일부터 시행한다.  부칙 (규정 제239호)  이 규정은 발령일부터 시행한다.  부칙 (규정 제252호)  제1조(시행일) 이 규정은 2013년 1월 1일부터 시행한다.  제2조(다른 규정의 개정) ①인사규정 중 다음과 같이 개정한다.  별표 2의 비고란
95		별표 1의 지급대상 중 “본부장․실․단․센터장”은 “처장․본부장․실장”, “팀장․관장(2급이상)”은 “팀․센터․관장(2급이상)”, “팀장․관장(3급이하)”는 “팀․센터․관장(3급이하)”로 한다.	②취업규정 중 다음과 같이 개정한다.  제3조 제2호 중 “직제(본부, 단, 실, 팀, 센터, 관)”을 “직제(이사, 처․ 본부, 실, 팀․센터․관)”으로 하고, 별지 제1호서식 결재란 중 “담당자․팀장․본부장․이사장”을 “담당자․팀장․본부장․이사․이사장"으로 한다.  ③복리후생규정 중 다음과 같이 개정한다.  별표 1의 지급대상 중 “본부장․실․단․센터장
96		별표 1의 부서별 중 “경영본부”를 “경영전략처”, “환경본부”를 “환경시설본부”, “기반시설사업단”을 “기반시설본부”로, 별지 제2호서식 중 “경영본부장”을 “경영전략처장”으로 한다.	④예산성과급지급운영규정 중 다음과 같이 개정한다.  제11조 제6항 중 “경영본부장(상임이사)”을 “경영이사”로 한다.  ⑤감사규정 중 다음과 같이 개정한다.  제14조 제3항 중 “안전감사실”을 “감사실”로 한다.  ⑥업무직직원관리내규 중 다음과 같이 개정한다.  별표 1의 부서별 중 “경영본부”를 “경영전략처”, “환경본부”를 “환경시설본부”, “기반시
97		제6조 제1항 제1호, 제3호, 제6호 중 “경영본부장”을 “경영전략처장”, 제6조 제1항 제9호 중 “관리팀장”을 “한밭운동장운영팀장”, “지원팀장”을 “무지개복지센터장”으로, 제69조의2 제1항 중 “관리팀장”을 “한밭운동장운영팀장”, “지원팀장”을 “무지개복지센터장”, “제148조 제2항 중 “경영본부장”을 “경영전략처장”으로 한다.	⑦전임계약직직원운영내규 중 다음과 같이 개정한다.  제18조 제2항 중 “경영본부장”을 “경영이사”로, 별표 1의 구분 중 “용운스포츠센터팀장”을 “용운스포츠센터장”으로 한다.  ⑧회계내규 중 다음과 같이 개정한다.  제6조 제1항 제1호, 제3호, 제6호 중 “경영본부장”을 “경영전략처장”, 제6조 제1항 제9호 중 “관리팀장”을 “한밭운동장운영팀장”, 
98		제6조 제1항 중 “경영본부장”을 “경영전략처장”, 제6조 제2항 중 “본부(단․실)”을 “처․본부․실”, 제6조 제3항 제1호 중 “본부(단․실)”을 “처․본부․실”로 한다.	⑨재산관리내규 중 다음과 같이 개정한다.  제6조 제1항 중 “경영본부장”을 “경영전략처장”, 제6조 제2항 중 “본부(단․실)”을 “처․본부․실”, 제6조 제3항 제1호 중 “본부(단․실)”을 “처․본부․실”로 한다.  ⑩물품관리내규 중 다음과 같이 개정한다.  제5조 제1호 중 “경영본부장”을 “경영전략처장”, 제5조 제4호 중 “ 팀장”을 “팀․센터․
99		제6조 제1항 중 “경영본부장”을 “경영전략처장”, 제6조 제2항 중 “본부(단․실)”을 “처․본부․실”, 제6조 제3항 제1호 중 “본부(단․실)”을 “처․본부․실”로 한다.	⑪차량관리내규 중 다음과 같이 개정한다.  별표 1의 배정대상 중 “경영본부”를 “경영전략처”, “환경본부”를 “환경시설본부”, “기반시설사업단”을 “기반시설본부”로, 별표 2의 정수배정대상부서 중 “경영본부”를 “경영전략처”, “환경본부”를 “환경시설본부”, “기반시설사업단”를 “기반시설본부”로 한다.  ⑫제안 및 직무발명내규 중 다음과 같이 개정한다. 
100		인수인계시 입회․확인자	⑬보안업무취급내규 중 다음과 같이 개정한다.  제3조 제2항 중 “본부․단”을 “처․본부”, 제6조 중 “경영본부장”을 “경영이사”, 제31조 제1항 중 “본부장, 단․실장”을 “처장․본부장․실장”으로 한다.  ⑭사무인계시행내규 중 다음과 같이 개정한다.  별표 2의 인수인계시 입회․확인자를 다음과 같이 개정한다.  인수인계시 입회․확인자  인 계 자  입
101		제3조 제1항 중 “경영본부장”을 “기반시설사업단장”으로 한다.	확 인 자  이    사  직제규정에 의한 소속 선임팀장  이 사 장  처․본부장  직제규정에 의한 소속 선임팀장  이    사  실    장  직제규정에 의한 소속 선임직원  이 사 장  팀    장  직제규정에 의한 소속 선임담당  소속 본부장  ⑮공동구보안관리내규 중 다음과 같이 개정한다.  제3조 제1항 중 “경영본부장”을 “기반시설사업단장”으로 한
